Customer Query,Agent Response,Category
Where is my order?,Your order is on the way! You can track it [here].,Order Tracking
My payment failed. What should I do?,Please check your card details or try another method.,Billing
The app keeps crashing. Help!,Try reinstalling the app and clearing the cache.,Technical Support
I want a refund for my last purchase.,Please provide your order ID for assistance.,Refund
How do I return a product?,You can initiate a return from your account under 'Orders'.,Returns
How do I reset my password?,Click 'Forgot Password' on the login page to reset it.,Account Support
How do I cancel my subscription?,You can cancel anytime in account settings under 'Subscription'.,Subscription
Why is my promo code not working?,Check if it's expired or has usage limits.,Promotions
Do you have a mobile app?,Yes! Download it on iOS and Android.,General Inquiry
I want to speak to a human agent.,You can reach our support team at support@example.com.,Escalation
My package hasn’t arrived yet.,I'm sorry for the delay! Please check your tracking link.,Order Tracking
Why was I charged twice?,We're sorry for the issue. Please share your transaction ID.,Billing
I can’t log in.,Please reset your password or check your internet connection.,Technical Support
How long does a refund take?,Refunds usually take 5-7 business days.,Refund
The item I received is damaged.,"I'm sorry! Please share an image, and we'll replace it.",Returns
Can I change my email address?,Yes! Go to account settings and update your email.,Account Support
Do you offer a free trial?,Yes! We have a 7-day free trial for new users.,Subscription
Do you have any discounts for students?,Yes! We offer student discounts. Verify your status [here].,Promotions
What are your store hours?,"Our stores are open from 9 AM to 9 PM, Mon-Sat.",General Inquiry
My issue is still not resolved.,We're sorry! Please provide your case ID for escalation.,Escalation
Can I change my delivery address?,"Once an order is shipped, we can't change the address.",Order Tracking
Do you accept PayPal?,Yes! We accept PayPal and major credit cards.,Billing
Why am I getting an error code 500?,Error 500 is a server issue. Please try again later.,Technical Support
Do I need to return the item for a refund?,"In most cases, yes. Please check our return policy.",Refund
Do I have to pay for return shipping?,Return shipping is free for defective items.,Returns
How do I delete my account?,We're sorry to see you go! Contact support for deletion requests.,Account Support
Can I pause my subscription?,"Yes, you can pause it for up to 3 months.",Subscription
When is the next sale?,Stay tuned! We announce sales via email and social media.,Promotions
Do you offer gift cards?,"Yes, you can purchase gift cards from our website.",General Inquiry
How do I file a formal complaint?,You can submit a complaint through our contact form.,Escalation
Where is my order?,Your order is on the way! You can track it [here].,Order Tracking
My payment failed. What should I do?,Please check your card details or try another method.,Billing
The app keeps crashing. Help!,Try reinstalling the app and clearing the cache.,Technical Support
I want a refund for my last purchase.,Please provide your order ID for assistance.,Refund
How do I return a product?,You can initiate a return from your account under 'Orders'.,Returns
How do I reset my password?,Click 'Forgot Password' on the login page to reset it.,Account Support
How do I cancel my subscription?,You can cancel anytime in account settings under 'Subscription'.,Subscription
Why is my promo code not working?,Check if it's expired or has usage limits.,Promotions
Do you have a mobile app?,Yes! Download it on iOS and Android.,General Inquiry
I want to speak to a human agent.,You can reach our support team at support@example.com.,Escalation
My package hasn’t arrived yet.,I'm sorry for the delay! Please check your tracking link.,Order Tracking
Why was I charged twice?,We're sorry for the issue. Please share your transaction ID.,Billing
I can’t log in.,Please reset your password or check your internet connection.,Technical Support
How long does a refund take?,Refunds usually take 5-7 business days.,Refund
The item I received is damaged.,"I'm sorry! Please share an image, and we'll replace it.",Returns
Can I change my email address?,Yes! Go to account settings and update your email.,Account Support
Do you offer a free trial?,Yes! We have a 7-day free trial for new users.,Subscription
Do you have any discounts for students?,Yes! We offer student discounts. Verify your status [here].,Promotions
What are your store hours?,"Our stores are open from 9 AM to 9 PM, Mon-Sat.",General Inquiry
My issue is still not resolved.,We're sorry! Please provide your case ID for escalation.,Escalation
Can I change my delivery address?,"Once an order is shipped, we can't change the address.",Order Tracking
Do you accept PayPal?,Yes! We accept PayPal and major credit cards.,Billing
Why am I getting an error code 500?,Error 500 is a server issue. Please try again later.,Technical Support
Do I need to return the item for a refund?,"In most cases, yes. Please check our return policy.",Refund
Do I have to pay for return shipping?,Return shipping is free for defective items.,Returns
How do I delete my account?,We're sorry to see you go! Contact support for deletion requests.,Account Support
Can I pause my subscription?,"Yes, you can pause it for up to 3 months.",Subscription
When is the next sale?,Stay tuned! We announce sales via email and social media.,Promotions
Do you offer gift cards?,"Yes, you can purchase gift cards from our website.",General Inquiry
How do I file a formal complaint?,You can submit a complaint through our contact form.,Escalation
Where is my order?,Your order is on the way! You can track it [here].,Order Tracking
My payment failed. What should I do?,Please check your card details or try another method.,Billing
